idIIP,nazwaGlown,kategoria,rodzaj,x,y
PL.PZGiK.320.NGRP.42045,Huta,miejscowość,osada leśna,20.52129140976201,51.24761749131135
PL.PZGiK.320.NGRP.42046,Huta,miejscowość,wieś,19.774242628439147,51.17558610792358
PL.PZGiK.320.NGRP.42048,Huta,miejscowość,wieś,20.356917461872143,51.04730084205199
PL.PZGiK.320.NGRP.42049,Huta,miejscowość,część wsi,20.33364409117924,51.01436119739802
PL.PZGiK.320.NGRP.42050,Huta Izabella,miejscowość,część miasta,19.43273790012864,50.200746413814684
PL.PZGiK.320.NGRP.42051,Huta,miejscowość,część wsi,20.50505806124135,49.809885878914095
PL.PZGiK.320.NGRP.42052,Huta,miejscowość,część miasta,19.177351954450796,50.79060660120963
PL.PZGiK.320.NGRP.42054,Huta,miejscowość,część wsi,21.402613272447443,49.93761584846761
PL.PZGiK.320.NGRP.42056,Huta,miejscowość,część miasta,19.109274555870815,50.34885050678923
PL.PZGiK.320.NGRP.42057,Huta,miejscowość,przysiółek wsi,20.955820642534306,49.46416842366085
PL.PZGiK.320.NGRP.42059,Huta,miejscowość,część wsi,19.445184486238325,49.83039197793394
PL.PZGiK.320.NGRP.42060,Huta,miejscowość,przysiółek wsi,19.702074324782313,49.6685737953865
PL.PZGiK.320.NGRP.42061,Huta,miejscowość,część wsi,19.216419687622356,49.51180040729055
PL.PZGiK.320.NGRP.42062,Huta-Chojno,miejscowość,wieś,19.289947833308158,52.98877255028359
PL.PZGiK.320.NGRP.42063,Huta-Dąbrowa,miejscowość,wieś,22.05009256885282,51.80796340957399
PL.PZGiK.320.NGRP.42064,Huta-Dobrzyń,miejscowość,przysiółek wsi,21.270355758275,51.224432068995256
PL.PZGiK.320.NGRP.42065,Huta,miejscowość,osada,23.027568748588198,54.10219680277697
PL.PZGiK.320.NGRP.42066,Huta-Kolonia,miejscowość,część wsi,22.7681170383374,50.904977751001844
PL.PZGiK.320.NGRP.42067,Huta-Parcele,miejscowość,przysiółek wsi,20.30754743206372,52.92499952318537
PL.PZGiK.320.NGRP.42068,Huta-Piła,miejscowość,część wsi,18.405872108969838,50.37789834116213
PL.PZGiK.320.NGRP.42069,Huta-Strzelce,miejscowość,wieś,19.167043353601365,53.5561268657265
PL.PZGiK.320.NGRP.42070,Huta-Złomy,miejscowość,wieś,23.353748088930292,50.29419256740679
PL.PZGiK.320.NGRP.42071,Huta Anglia,miejscowość,część wsi,21.466754450045475,51.94074970350991
PL.PZGiK.320.NGRP.42072,Huta Aniołów,miejscowość,część miasta,19.36137221665656,51.819189915235896
